codigo_concelho;1;2;3 ou mais
1901;30;70;140
1902;30;70;140
1903;30;70;140
1904;30;70;140
1905;30;70;140
0101;30;70;140
0102;30;70;140
0103;30;70;140
0104;30;70;140
0105;30;70;140
0106;30;70;140
0108;30;70;140
0110;30;70;140
0111;30;70;140
0112;30;70;140
0113;30;70;140
0114;30;70;140
0115;30;70;140
0116;30;70;140
0109;30;70;140
0117;30;70;140
0118;30;70;140
0119;30;70;140
0201;0;0;0
0202;30;70;140
0203;30;70;140
0204;30;70;140
0205;30;70;140
0206;0;0;0
0207;0;0;0
0208;0;0;140
0209;30;70;140
0210;0;0;0
0211;30;70;140
0212;30;70;140
0213;0;0;0
0214;0;0;0
0301;30;70;140
0302;30;70;140
0303;30;70;140
0304;30;70;140
0305;30;70;140
0306;30;70;140
0307;30;70;140
0308;0;70;140
0309;30;70;140
0310;30;70;140
0311;30;70;140
0312;30;70;140
0313;0;70;140
0314;30;70;140
0401;0;0;0
0402;30;70;140
0403;30;70;140
0404;0;0;0
0405;30;70;140
0406;30;70;140
0407;30;70;140
0408;30;70;140
0409;30;70;140
0410;30;70;140
0411;30;70;140
0412;30;70;140
0501;30;70;140
0502;30;70;140
0503;30;70;140
0504;30;70;140
0505;30;70;140
0506;30;70;140
0507;30;70;140
0508;30;70;140
0509;30;70;140
0510;30;70;140
0511;30;70;140
0601;30;70;140
0602;30;70;140
0603;30;70;140
0604;30;70;140
0605;30;70;140
0606;30;70;140
0607;30;70;140
0608;30;70;140
0609;30;70;140
0610;30;70;140
0611;30;70;140
0612;30;70;140
0613;30;70;140
0614;30;70;140
0615;30;70;140
0616;30;70;140
0617;0;0;0
0701;0;0;0
0702;0;0;0
0703;30;70;140
0704;30;70;140
0705;30;70;140
0706;30;70;140
0707;30;70;140
0708;30;70;140
0709;0;0;0
0710;30;70;140
0711;30;70;140
0712;30;70;140
0713;30;70;140
0714;30;70;140
0801;30;70;140
0802;30;70;140
0803;30;70;140
0804;30;70;140
0805;30;70;140
0806;30;70;140
0807;30;70;140
0808;30;70;140
0809;30;70;140
0810;30;70;140
0811;30;70;140
0812;30;70;140
0813;30;70;140
0814;30;70;140
0815;30;70;140
0816;0;0;0
2201;30;70;140
2202;30;70;140
2203;30;70;140
2204;30;70;140
2205;30;70;140
2206;30;70;140
2207;30;70;140
2208;30;70;140
2211;30;70;140
2209;30;70;140
2210;30;70;140
0901;30;70;140
0902;30;70;140
0903;30;70;140
0904;30;70;140
0905;0;0;0
0906;30;70;140
0907;30;70;140
0908;30;70;140
0909;30;70;140
0910;30;70;140
0911;30;70;140
0912;30;70;140
0913;30;70;140
0914;30;70;140
2001;0;0;0
2002;30;70;140
2003;30;70;140
2004;30;70;140
2005;30;70;140
2007;30;70;140
2006;30;70;140
1001;30;70;140
1002;30;70;140
1003;30;70;140
1004;30;70;140
1005;30;70;140
1006;30;70;140
1007;30;70;140
1008;30;70;140
1009;30;70;140
1010;30;70;140
1011;0;0;0
1012;30;70;140
1013;30;70;140
1014;30;70;140
1015;30;70;140
1016;30;70;140
1101;30;70;140
1115;30;70;140
1102;30;70;140
1103;30;70;140
1104;30;70;140
1105;30;70;140
1106;30;70;140
1107;30;70;140
1108;30;70;140
1109;30;70;140
1116;0;70;140
1110;30;70;140
1111;0;0;0
1112;0;0;0
1113;30;70;140
1114;30;70;140
2101;30;70;140
2102;0;0;0
2103;30;70;140
2104;30;70;140
2105;30;70;140
2107;30;70;140
2106;0;0;0
1201;30;70;140
1202;30;70;140
1203;30;70;140
1204;30;70;140
1205;30;70;140
1206;30;70;140
1207;30;70;140
1208;30;70;140
1209;0;0;0
1210;30;70;140
1211;30;70;140
1212;30;70;140
1213;30;70;140
1214;30;70;140
1215;30;70;140
1301;0;70;140
1302;30;70;140
1303;30;70;140
1305;0;0;140
1306;0;0;140
1307;30;70;140
1308;30;70;140
1309;0;0;140
1310;0;70;140
1311;0;0;140
1312;0;0;0
1313;30;70;140
1314;30;70;140
1318;30;70;140
1315;30;70;140
1316;30;70;140
1317;0;0;0
1401;30;70;140
1402;30;70;140
1403;0;0;0
1404;30;70;140
1405;30;70;140
1406;0;0;0
1407;30;70;140
1408;30;70;140
1409;30;70;140
1410;0;0;140
1411;30;70;140
1412;30;70;140
1413;30;70;140
1421;30;70;140
1414;30;70;140
1415;0;0;0
1416;30;70;140
1417;30;70;140
1418;30;70;140
1419;30;70;140
1420;30;70;140
1501;0;0;0
1502;30;70;140
1503;0;0;0
1504;0;0;0
1505;30;70;140
1506;30;70;140
1507;30;70;140
1508;30;70;140
1509;0;0;0
1510;0;0;0
1511;30;70;140
1512;30;70;140
1513;30;70;140
1601;30;70;140
1602;30;70;140
1603;30;70;140
1604;30;70;140
1605;0;0;140
1606;30;70;140
1607;30;70;140
1608;30;70;140
1609;30;70;140
1610;30;70;140
1701;30;70;140
1702;30;70;140
1703;30;70;140
1704;0;0;0
1705;30;70;140
1706;30;70;140
1707;30;70;140
1708;30;70;140
1709;30;70;140
1710;30;70;140
1711;30;70;140
1712;30;70;140
1713;30;70;140
1714;30;70;140
1801;30;70;140
1802;30;70;140
1803;30;70;140
1804;30;70;140
1805;30;70;140
1806;30;70;140
1807;30;70;140
1808;30;70;140
1809;0;0;0
1810;30;70;140
1811;30;70;140
1812;30;70;140
1813;30;70;140
1815;30;70;140
1816;30;70;140
1814;0;0;140
1817;30;70;140
1818;30;70;140
1819;30;70;140
1820;30;70;140
1821;30;70;140
1822;30;70;140
1823;0;70;140
1824;30;70;140
